Source,Target,Type,Id,Label,timeset,Weight
n1524,n262,Undirected,e0,,,1
n1524,n1052,Undirected,e1,,,1
n1524,n884,Undirected,e2,,,1
n1524,n1171,Undirected,e3,,,1
n1524,n509,Undirected,e4,,,1
n1524,n1455,Undirected,e5,,,2
n1524,n941,Undirected,e6,,,1
n1524,n1288,Undirected,e7,,,1
n1524,n1495,Undirected,e8,,,2
n1524,n906,Undirected,e9,,,1
n1523,n3,Undirected,e10,,,1
n1523,n1495,Undirected,e11,,,2
n1522,n578,Undirected,e12,,,1
n1522,n326,Undirected,e13,,,1
n1522,n1346,Undirected,e14,,,1
n1522,n1189,Undirected,e15,,,1
n1522,n1360,Undirected,e16,,,1
n1522,n341,Undirected,e17,,,1
n1522,n614,Undirected,e18,,,1
n1522,n5,Undirected,e19,,,1
n1522,n355,Undirected,e20,,,1
n1522,n117,Undirected,e21,,,1
n1522,n42,Undirected,e22,,,1
n1522,n1436,Undirected,e23,,,2
n1522,n124,Undirected,e24,,,1
n1522,n1203,Undirected,e25,,,2
n1522,n1471,Undirected,e26,,,2
n1522,n1496,Undirected,e27,,,2
n1522,n338,Undirected,e28,,,1
n1522,n375,Undirected,e29,,,1
n1522,n1491,Undirected,e30,,,2
n1522,n60,Undirected,e31,,,1
n1522,n1439,Undirected,e32,,,2
n1522,n353,Undirected,e33,,,1
n1522,n1218,Undirected,e34,,,1
n1522,n335,Undirected,e35,,,1
n1522,n359,Undirected,e36,,,1
n1522,n1128,Undirected,e37,,,1
n1522,n1323,Undirected,e38,,,1
n1522,n1347,Undirected,e39,,,1
n1522,n1426,Undirected,e40,,,2
n1522,n349,Undirected,e41,,,1
n1521,n1291,Undirected,e42,,,1
n1521,n536,Undirected,e43,,,1
n1521,n26,Undirected,e44,,,1
n1521,n1510,Undirected,e45,,,2
n1521,n542,Undirected,e46,,,1
n1521,n511,Undirected,e47,,,1
n1521,n990,Undirected,e48,,,1
n1521,n811,Undirected,e49,,,1
n1521,n1123,Undirected,e50,,,1
n1521,n1450,Undirected,e51,,,2
n1521,n1299,Undirected,e52,,,1
n1521,n67,Undirected,e53,,,1
n1521,n396,Undirected,e54,,,1
n1521,n637,Undirected,e55,,,1
n1519,n1416,Undirected,e56,,,2
n1519,n1172,Undirected,e57,,,1
n1519,n976,Undirected,e58,,,1
n1519,n1476,Undirected,e59,,,2
n1519,n1251,Undirected,e60,,,1
n1519,n1090,Undirected,e61,,,1
n1519,n81,Undirected,e62,,,1
n1519,n1189,Undirected,e63,,,1
n1519,n285,Undirected,e64,,,1
n1519,n1445,Undirected,e65,,,2
n1519,n1073,Undirected,e66,,,1
n1519,n1286,Undirected,e67,,,1
n1519,n1440,Undirected,e68,,,2
